,title,price,area,subway_distance,address,price_per_sqm
181,塘边地铁旁，房间采光通风很好，明亮透彻，价格实惠,1200.0,20.0,距1号线-火炬园383m,塘边社,60.0
182,北站万科大都荟 复式两室精装修 信息真实 周边有商圈,2200.0,40.56,距1号线-厦门北站982m,万科广场(商住楼),54.24063116370808
183,太子山庄 阳光充足 3室2厅1卫 精装修,4600.0,87.28,距1号线-将军祠336m,太子山庄,52.70394133822182
184,SM旁，天成花园小区正规单身公寓,1600.0,30.0,距1号线-乌石浦681m,天成花园(湖里),53.333333333333336
185,吕厝乌石浦地铁口，电梯小两房，便宜出租,2800.0,51.7,距1号线-乌石浦154m,龙门天下,54.15860735009671
186,石鼓路四房两厅两卫出租,2700.0,130.0,距1号线-集美学村1860m,石鼓路145-185号小区,20.76923076923077
187,金榜小学旁 自然家园 南北通透两房,3200.0,54.34,距1号线-莲坂1034m,自然家园,58.88847994111152
188,莲坂，莲花，地铁口，多套一房一厅出租，拎包入住,3500.0,55.85,距1号线-莲花路口179m,华天花园,62.66786034019695
189,乌石浦地铁口旁 天宝大厦 电梯正规1房1厅带阳台 民水民电,1500.0,26.44,距1号线-乌石浦422m,天宝大厦,56.732223903177
190,明发旁 磐基旁 莲花路口地铁站 华天花园 精装修一房一厅,3500.0,60.0,距1号线-莲花路口179m,华天花园,58.333333333333336
191,吕厝地铁口，电梯两房，客厅带阳台，带小区,3600.0,66.61,距1号线-吕厝398m,英皇湖畔花苑,54.04593904819096
192,精装公寓出租，塘边地铁站附近精装复式家电设施齐全拎包入住,900.0,20.0,距1号线-火炬园383m,塘边社,45.0
193,塘边地铁站附近精装房家电齐全拎包入住采光好直达sm明发火车站,900.0,20.0,距1号线-火炬园383m,塘边社,45.0
194,假日双星楼台 阳光充足 急租房源 拎包入住,3900.0,53.8,距1号线-文灶305m,假日双星楼台,72.49070631970261
195,磐基明发莲坂，华天花园，火车站万象城附近，精装一房一厅,3500.0,56.43,距1号线-莲花路口179m,华天花园,62.02374623427255
196,金榜公园brt站 文灶地铁口 电梯小区独门独户 精装单身公寓,2000.0,35.46,距1号线-文灶462m,银龙广场,56.40157924421884
197,禹州世贸精装三房两厅两卫房子很漂亮，很有性价比,5200.0,109.74,距1号线-湖滨东路800m,禹洲世贸国际,47.38472753781666
198,sm城市广场旁 裕兴花园 电梯正规精美1房1厅  实惠出租,2000.0,40.0,距1号线-塘边903m,裕兴花园,50.0
